Time (s)	WE(1).Potential (V)	WE(1).Current (A)	Corrected time (s)	Index
0.982996997518171	0.449951171875	1.6949462890625E-05	0	1
1.03299699739193	0.449951171875	8.21838378906251E-06	0.0499999998737621	2
1.0829969972657	0.449981689453125	6.060791015625E-06	0.0999999997475243	3
1.13299699713946	0.45001220703125	5.0689697265625E-06	0.149999999621286	4
1.18299699701322	0.449951171875	4.46166992187499E-06	0.199999999495049	5
1.23299699688698	0.449951171875	3.32183837890625E-06	0.249999999368811	6
1.28299699676074	0.450042724609375	2.97760009765625E-06	0.299999999242573	7
1.33299699663451	0.449981689453125	2.803955078125E-06	0.349999999116335	8
1.38299699650827	0.45001220703125	2.581787109375E-06	0.399999998990097	9
1.43299699638203	0.45001220703125	2.47406005859375E-06	0.449999998863859	10
1.48299699625579	0.4493408203125	2.35565185546875E-06	0.499999998737621	11
1.53299699612955	0.449920654296875	2.25982666015625E-06	0.549999998611383	12
1.58299699600332	0.449920654296875	2.16094970703125E-06	0.599999998485146	13
1.63299699587708	0.44989013671875	2.0916748046875E-06	0.649999998358908	14
1.68299699575084	0.449951171875	2.0220947265625E-06	0.69999999823267	15
1.7329969956246	0.449951171875	1.95068359375E-06	0.749999998106432	16
1.78299699549837	0.44989013671875	1.89971923828125E-06	0.799999997980194	17
1.83299699537213	0.449951171875	1.84844970703125E-06	0.849999997853956	18
1.88299699524589	0.449920654296875	1.795654296875E-06	0.899999997727718	19
1.93299699511965	0.449951171875	1.7535400390625E-06	0.949999997601481	20
1.98299699499341	0.449920654296875	1.72027587890625E-06	0.999999997475243	21
2.03299699486718	0.449920654296875	1.67572021484375E-06	1.049999997349	22
2.08299699474094	0.449951171875	1.65771484375E-06	1.09999999722277	23
2.1329969946147	0.449981689453125	1.6107177734375E-06	1.14999999709653	24
2.18299699448846	0.449981689453125	1.58905029296875E-06	1.19999999697029	25
2.23299699436222	0.44989013671875	1.55975341796875E-06	1.24999999684405	26
2.28299699423599	0.449951171875	1.53594970703125E-06	1.29999999671782	27
2.33299699410975	0.449951171875	1.5081787109375E-06	1.34999999659158	28
2.38299699398351	0.449951171875	1.48101806640625E-06	1.39999999646534	29
2.43299699385727	0.449920654296875	1.4642333984375E-06	1.4499999963391	30
2.48299699373104	0.449951171875	1.4398193359375E-06	1.49999999621286	31
2.5329969936048	0.449920654296875	1.42822265625E-06	1.54999999608663	32
2.58299699347856	0.449951171875	1.4068603515625E-06	1.59999999596039	33
2.63299699335232	0.449920654296875	1.3800048828125E-06	1.64999999583415	34
2.68299699322608	0.449951171875	1.36749267578125E-06	1.69999999570791	35
2.73299699309985	0.449951171875	1.35498046875E-06	1.74999999558167	36
2.78299699297361	0.45001220703125	1.33544921875E-06	1.79999999545544	37
2.83299699284737	0.449981689453125	1.32720947265625E-06	1.8499999953292	38
2.88299699272113	0.449920654296875	1.312255859375E-06	1.89999999520296	39
2.93299699259489	0.449951171875	1.2908935546875E-06	1.94999999507672	40
2.98299699246866	0.449981689453125	1.28448486328125E-06	1.99999999495049	41
3.03299699234242	0.449951171875	1.26922607421875E-06	2.04999999482425	42
3.08299699221618	0.449920654296875	1.259765625E-06	2.09999999469801	43
3.13299699208994	0.449981689453125	1.243896484375E-06	2.14999999457177	44
3.18299699196371	0.449951171875	1.23046875E-06	2.19999999444553	45
3.23299699183747	0.449920654296875	1.22222900390625E-06	2.2499999943193	46
3.28299699171123	0.449951171875	1.2066650390625E-06	2.29999999419306	47
3.33299699158499	0.449920654296875	1.20880126953125E-06	2.34999999406682	48
3.38299699145875	0.449981689453125	1.1822509765625E-06	2.39999999394058	49
3.43299699133252	0.449920654296875	1.17645263671875E-06	2.44999999381434	50
3.48299699120628	0.449951171875	1.1767578125E-06	2.49999999368811	51
3.53299699108004	0.449981689453125	1.1553955078125E-06	2.54999999356187	52
3.5829969909538	0.449951171875	1.15875244140625E-06	2.59999999343563	53
3.63299699082756	0.449920654296875	1.146240234375E-06	2.64999999330939	54
3.68299699070133	0.449951171875	1.13037109375E-06	2.69999999318316	55
3.73299699057509	0.449920654296875	1.121826171875E-06	2.74999999305692	56
3.78299699044885	0.44989013671875	1.11328125E-06	2.79999999293068	57
3.83299699032261	0.449920654296875	1.1126708984375E-06	2.84999999280444	58
3.88299699019638	0.449920654296875	1.09649658203125E-06	2.8999999926782	59
3.93299699007014	0.449951171875	1.10260009765625E-06	2.94999999255197	60
3.9829969899439	0.449920654296875	1.09100341796875E-06	2.99999999242573	61
4.03299698981766	0.449951171875	1.07666015625E-06	3.04999999229949	62
4.08299698969142	0.449981689453125	1.07940673828125E-06	3.09999999217325	63
4.13299698956519	0.449920654296875	1.06231689453125E-06	3.14999999204701	64
4.18299698943895	0.449920654296875	1.0577392578125E-06	3.19999999192078	65
4.23299698931271	0.449951171875	1.0565185546875E-06	3.24999999179454	66
4.28299698918647	0.449981689453125	1.041259765625E-06	3.2999999916683	67
4.33299698906023	0.449951171875	1.04949951171875E-06	3.34999999154206	68
4.382996988934	0.449981689453125	1.03912353515625E-06	3.39999999141583	69
4.43299698880776	0.449981689453125	1.02813720703125E-06	3.44999999128959	70
4.48299698868152	0.449981689453125	1.03057861328125E-06	3.49999999116335	71
4.53299698855528	0.449920654296875	1.01715087890625E-06	3.54999999103711	72
4.58299698842904	0.449951171875	1.0113525390625E-06	3.59999999091087	73
4.63299698830281	0.449951171875	1.009521484375E-06	3.64999999078464	74
4.68299698817657	0.449951171875	9.9884033203125E-07	3.6999999906584	75
4.73299698805033	0.449951171875	9.967041015625E-07	3.74999999053216	76
